Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,156.77000427246094,157.77000427246094,156.4499969482422,157.6999969482422,154.07159423828125,18369400
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,156.9243927001953,22622100
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,154.97042846679688,21116200
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,155.3709716796875,20813700
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,153.95433044433594,21634100
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,156.40658569335938,27746500
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,158.36058044433594,21385000
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,157.6278076171875,20725900
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,159.523193359375,21626500
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,158.39964294433594,23477400
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,159.42547607421875,21417900
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,162.34669494628906,23865400
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,163.2552947998047,34371700
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,162.66909790039062,29517200
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,161.8874969482422,24138800
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,162.884033203125,19680800
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,161.24269104003906,24918100
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,158.5461883544922,32078100
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,161.65301513671875,24899900
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,164.17369079589844,34754500
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,168.80459594726562,51597500
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,166.31326293945312,36142700
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,170.36782836914062,30107000
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,175.97569274902344,36433300
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,175.7607879638672,39186300
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,179.4049530029297,27751400
2020-02-07,182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,179.6589813232422,33529100
2020-02-10,183.5800018310547,188.83999633789062,183.25,188.6999969482422,184.35829162597656,35844300
2020-02-11,190.64999389648438,190.6999969482422,183.5,184.44000244140625,180.19631958007812,53159900
2020-02-12,185.5800018310547,185.85000610351562,181.85000610351562,184.7100067138672,180.4601287841797,47062900
2020-02-13,183.0800018310547,186.22999572753906,182.8699951171875,183.7100067138672,179.48312377929688,35295800
2020-02-14,183.25,185.41000366210938,182.64999389648438,185.35000610351562,181.08538818359375,23149500
2020-02-18,185.61000061035156,187.6999969482422,185.5,187.22999572753906,182.92214965820312,27792200
2020-02-19,188.05999755859375,188.17999267578125,186.47000122070312,187.27999877929688,183.47071838378906,29997500
2020-02-20,186.9499969482422,187.25,181.10000610351562,184.4199981689453,180.66893005371094,36862400
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,174.95748901367188,48572600
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,167.4141082763672,68311100
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,164.6514892578125,68073300
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,166.70877075195312,56206100
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,154.96263122558594,93174900
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,158.71473693847656,97012700
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,169.2754669189453,71030800
2020-03-03,173.8000030517578,175.0,162.25999450683594,164.50999450683594,161.16387939453125,71677000
2020-03-04,168.49000549316406,170.6999969482422,165.6199951171875,170.5500030517578,167.0810546875,49814400
2020-03-05,166.0500030517578,170.8699951171875,165.69000244140625,166.27000427246094,162.8881072998047,47817300
2020-03-06,162.61000061035156,163.11000061035156,156.0,161.57000732421875,158.28369140625,72821100
2020-03-09,151.0,157.75,150.0,150.6199951171875,147.55641174316406,70419300
2020-03-10,158.16000366210938,161.02999877929688,152.5800018310547,160.9199981689453,157.64691162109375,65354400
2020-03-11,157.1300048828125,157.6999969482422,151.14999389648438,153.6300048828125,150.5051727294922,56371600
2020-03-12,145.3000030517578,153.47000122070312,138.5800018310547,139.05999755859375,136.23153686523438,93226400
2020-03-13,147.5,161.91000366210938,140.72999572753906,158.8300018310547,155.59942626953125,92727400
2020-03-16,140.0,149.35000610351562,135.0,135.4199981689453,132.6656036376953,87905900
2020-03-17,140.0,147.5,135.0,146.57000732421875,143.58880615234375,81059800
2020-03-18,138.0,146.0,135.02000427246094,140.39999389648438,137.5442657470703,81593200
2020-03-19,142.77000427246094,150.14999389648438,139.0,142.7100067138672,139.80731201171875,85922700
2020-03-20,146.0,147.10000610351562,135.86000061035156,137.35000610351562,134.55630493164062,84866200
2020-03-23,137.00999450683594,140.57000732421875,132.52000427246094,135.97999572753906,133.21417236328125,78975200
2020-03-24,143.75,149.60000610351562,141.27000427246094,148.33999633789062,145.32276916503906,82516700
2020-03-25,148.91000366210938,154.3300018310547,144.44000244140625,146.9199981689453,143.931640625,75638200
2020-03-26,148.39999389648438,156.66000366210938,148.3699951171875,156.11000061035156,152.93475341796875,64568100
2020-03-27,151.75,154.88999938964844,149.1999969482422,149.6999969482422,146.6551055908203,57042300
2020-03-30,152.44000244140625,160.60000610351562,150.00999450683594,160.22999572753906,156.97091674804688,63420300
2020-03-31,159.39999389648438,164.77999877929688,156.55999755859375,157.7100067138672,154.50218200683594,77927200
2020-04-01,153.0,157.75,150.82000732421875,152.11000061035156,149.01609802246094,57969900
2020-04-02,151.86000061035156,155.47999572753906,150.36000061035156,155.25999450683594,152.10203552246094,49630700
2020-04-03,155.10000610351562,157.3800048828125,152.19000244140625,153.8300018310547,150.7011260986328,41243300
2020-04-06,160.32000732421875,166.5,157.5800018310547,165.27000427246094,161.90843200683594,67111700
2020-04-07,169.58999633789062,170.0,163.25999450683594,163.49000549316406,160.16464233398438,62769000
